industry_name,canonical_industry_label,industry_cluster
"Aerospace & Defense","Aerospace & Defense","Industrials"
"Air Freight & Logistics","Air Freight & Logistics","Industrials"
"Alternative Carriers","Alternative Carriers","Communication Services"
"Application Software","Application Software","Information Technology"
"Autos & Components","Automobiles & Components","Consumer Discretionary"
"Banks","Banks","Financials"
"Biotechnology","Biotechnology","Health Care"
"Building Products","Building Products","Industrials"
"Capital Goods","Capital Goods","Industrials"
"Cargo Ground Transportation","Cargo Ground Transportation","Industrials"
"Chemicals","Chemicals","Materials"
"Commercial & Professional Services","Commercial & Professional Services","Industrials"
"Communication","Communication Services","Communication Services"
"Communications Equip.","Communications Equipment","Information Technology"
"Construction Materials","Construction Materials","Materials"
"Consumer Discretionary","Consumer Discretionary","Consumer Discretionary"
"Consumer Services","Consumer Services","Consumer Discretionary"
"Consumer Staples","Consumer Staples","Consumer Staples"
"Consumer Staples Distribution & Retail","Consumer Staples Distribution & Retail","Consumer Staples"
"Containers & Packaging","Containers & Packaging","Materials"
"Copper","Copper","Materials"
"Data Center REITs","Data Center REITs","Real Estate"
"Diversified Banks","Diversified Banks","Financials"
"Diversified Metals & Mining","Diversified Metals & Mining","Materials"
"Electric Utilities","Electric Utilities","Utilities"
"Electrical Components & Equipment","Electrical Components & Equipment","Industrials"
"Energy","Energy","Energy"
"Environmental & Facilities Services","Environmental & Facilities Services","Industrials"
"Financial Exchanges & Data","Financial Exchanges & Data","Financials"
"Financial Services","Financial Services","Financials"
"Financials","Financials","Financials"
"Food Bevg Tobacco","Food, Beverage & Tobacco","Consumer Staples"
"Gold","Gold","Materials"
"Health Care","Health Care","Health Care"
"Health Care Equipment","Health Care Equipment","Health Care"
"Health Care Equipment & Services","Health Care Equipment & Services","Health Care"
"Health Care Facilities","Health Care Facilities","Health Care"
"Health Care Services","Health Care Services","Health Care"
"Heavy Electrical Equipment","Heavy Electrical Equipment","Industrials"
"Home Improvement Retail","Home Improvement Retail","Consumer Discretionary"
"Homebuilding","Homebuilding","Consumer Discretionary"
"Household & Personal Prod","Household & Personal Products","Consumer Staples"
"INDUSTRIAL GASES","Industrial Gases","Materials"
"Independent Power Producers & Energy Traders","Independent Power Producers & Energy Traders","Utilities"
"Industrials","Industrials","Industrials"
"Information Technology","Information Technology","Information Technology"
"Insurance","Insurance","Financials"
"Integrated Oil & Gas","Integrated Oil & Gas","Energy"
"Integrated Telecommunication Services","Integrated Telecommunication Services","Communication Services"
"Interactive Home","Interactive Home","Consumer Discretionary"
"Interactive Media & Services","Interactive Media & Services","Communication Services"
"Investment Banking & Brokerage","Investment Banking & Brokerage","Financials"
"Leisure Products","Leisure Products","Consumer Discretionary"
"Life & Health Insurance","Life & Health Insurance","Financials"
"Life Sciences Tools & Services","Life Sciences Tools & Services","Health Care"
"MULTI-LINE INSURANCE","Multi-line Insurance","Financials"
"Managed Health Care","Managed Health Care","Health Care"
"Materials","Materials","Materials"
"Media & Entertainment","Media & Entertainment","Communication Services"
"Metals & Mining","Metals & Mining","Materials"
"Movies & Entertainment","Movies & Entertainment","Communication Services"
"Multi-Utilities","Multi-Utilities","Utilities"
"Oil & Gas Drilling","Oil & Gas Drilling","Energy"
"Oil & Gas Equipment & Services","Oil & Gas Equipment & Services","Energy"
"Oil & Gas Exploration & Production","Oil & Gas Exploration & Production","Energy"
"Oil & Gas Refining & Marketing & Transportation","Oil & Gas Refining, Marketing & Transportation","Energy"
"Oil & Gas Storage & Transportation","Oil & Gas Storage & Transportation","Energy"
"Other","Other","Other Industries"
"Other Industries","Other Industries","Other Industries"
"Paper & Forest Prod.","Paper & Forest Products","Materials"
"Pharma, Biotech & Life Sciences","Pharma, Biotech & Life Sciences","Health Care"
"Pharmaceuticals","Pharmaceuticals","Health Care"
"Property & Casualty Insurance","Property & Casualty Insurance","Financials"
"Rail Transportation","Rail Transportation","Industrials"
"Real Estate","Real Estate","Real Estate"
"Regional Banks","Regional Banks","Financials"
"Renewable Electricity","Renewable Electricity","Utilities"
"Semiconductor Equipment","Semiconductor Equipment","Information Technology"
"Semiconductors","Semiconductors","Information Technology"
"Semiconductors & Semiconductor Equipment","Semiconductors & Semiconductor Equipment","Information Technology"
"Software & Services","Software & Services","Information Technology"
"Specialized REITs","Specialized REITs","Real Estate"
"Specialty Chemicals","Specialty Chemicals","Materials"
"Steel","Steel","Materials"
"Systems Software","Systems Software","Information Technology"
"Tech Hardware & Equip","Technology Hardware & Equipment","Information Technology"
"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","Information Technology"
"Telecom Tower REITs","Telecom Tower REITs","Real Estate"
"Transportation","Transportation","Industrials"
"Utilities","Utilities","Utilities"
